$ /Users/insideden/.hermes/hermes-agent/venv/bin/hermes skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┓
┃ Name             ┃ Category         ┃ Source   ┃ Trust    ┃ Status           ┃
│ omh-decide       │ operator         │ local    │ local    │ enabled          │
│ omh-deliverable… │ operator         │ local    │ local    │ enabled          │
│ omh-deploy-and-… │ operator         │ local    │ local    │ enabled          │
│ omh-design-orch… │ operator         │ local    │ local    │ enabled          │
│ omh-design-qual… │ operator         │ local    │ local    │ enabled          │
│ omh-feedback-tr… │ operator         │ local    │ local    │ enabled          │
│ omh-finance-ana… │ operator         │ local    │ local    │ enabled          │
│ omh-frontend     │ operator         │ local    │ local    │ enabled          │
│ omh-github-even… │ operator         │ local    │ local    │ enabled          │
│ omh-github-issu… │ operator         │ local    │ local    │ enabled          │
│ omh-idea-to-dep… │ operator         │ local    │ local    │ enabled          │
│ omh-image-cards  │ operator         │ local    │ local    │ enabled          │
│ omh-inference-s… │ operator         │ local    │ local    │ enabled          │
│ omh-lifecycle-g… │ operator         │ local    │ local    │ enabled          │
│ omh-live-incide… │ operator         │ local    │ local    │ enabled          │
│ omh-llm-app-dev  │ operator         │ local    │ local    │ enabled          │
│ omh-materials-p… │ operator         │ local    │ local    │ enabled          │
│ omh-meeting-bri… │ operator         │ local    │ local    │ enabled          │
│ omh-operating-r… │ operator         │ local    │ local    │ enabled          │
│ omh-ops-review   │ operator         │ local    │ local    │ enabled          │
│ omh-people-ops   │ operator         │ local    │ local    │ enabled          │
│ omh-physical-de… │ operator         │ local    │ local    │ enabled          │
│ omh-provider-pr… │ operator         │ local    │ local    │ enabled          │
│ omh-reliability… │ operator         │ local    │ local    │ enabled          │
│ omh-report-pack… │ operator         │ local    │ local    │ enabled          │
│ omh-sales-devel… │ operator         │ local    │ local    │ enabled          │
│ omh-sales-pipel… │ operator         │ local    │ local    │ enabled          │
│ omh-skill-health │ operator         │ local    │ local    │ enabled          │
│ omh-skill-scout  │ operator         │ local    │ local    │ enabled          │
│ omh-support-ope… │ operator         │ local    │ local    │ enabled          │
│ omh-visual-qa    │ operator         │ local    │ local    │ enabled          │
│ omh-workspace-a… │ operator         │ local    │ local    │ enabled          │
│ omh-adversarial… │ planner          │ local    │ local    │ enabled          │
│ omh-backend      │ planner          │ local    │ local    │ enabled          │
│ omh-codebase-on… │ planner          │ local    │ local    │ enabled          │
│ omh-codebase-uml │ planner          │ local    │ local    │ enabled          │
│ omh-codegraph-r… │ planner          │ local    │ local    │ enabled          │
│ omh-curriculum-… │ planner          │ local    │ local    │ enabled          │
│ omh-decision-pr… │ planner          │ local    │ local    │ enabled          │
│ omh-plan         │ planner          │ local    │ local    │ enabled          │
│ omh-product-bri… │ planner          │ local    │ local    │ enabled          │
│ omh-product-dis… │ planner          │ local    │ local    │ enabled          │
│ omh-refactor-pl… │ planner          │ local    │ local    │ enabled          │
│ omh-rust         │ planner          │ local    │ local    │ enabled          │
│ airtable         │ productivity     │ builtin  │ builtin  │ disabled         │
│ box              │ productivity     │ builtin  │ builtin  │ disabled         │
│ casual-business… │ productivity     │ local    │ local    │ enabled          │
│ content-operati… │ productivity     │ local    │ local    │ enabled          │
│ den-creativefor… │ productivity     │ local    │ local    │ enabled          │
│ den-output-cont… │ productivity     │ local    │ local    │ enabled          │
│ document-to-act… │ productivity     │ builtin  │ builtin  │ enabled          │
│ docx             │ productivity     │ builtin  │ builtin  │ enabled          │
│ google-workspace │ productivity     │ builtin  │ builtin  │ enabled          │
│ maps             │ productivity     │ builtin  │ builtin  │ enabled          │
│ meeting-action-… │ productivity     │ builtin  │ builtin  │ enabled          │
│ model-routing-p… │ productivity     │ local    │ local    │ enabled          │
│ nano-pdf         │ productivity     │ local    │ local    │ disabled         │
│ notion           │ productivity     │ builtin  │ builtin  │ disabled         │
│ ocr-and-documen… │ productivity     │ local    │ local    │ enabled          │
│ pdf              │ productivity     │ builtin  │ builtin  │ enabled          │
│ powerpoint       │ productivity     │ builtin  │ builtin  │ enabled          │
│ product-price-m… │ productivity     │ builtin  │ builtin  │ disabled         │
│ recording-intel… │ productivity     │ local    │ local    │ enabled          │
│ session-librari… │ productivity     │ local    │ local    │ enabled          │
│ specialist-orch… │ productivity     │ local    │ local    │ enabled          │
│ task-board-agen… │ productivity     │ local    │ local    │ enabled          │
│ teams-meeting-p… │ productivity     │ builtin  │ builtin  │ disabled         │
