$ /Users/insideden/.hermes/hermes-agent/venv/bin/hermes -p den skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━┓
┃ Name                   ┃ Category             ┃ Source  ┃ Trust   ┃ Status   ┃
│ hermes-summary         │ social-media         │ local   │ local   │ enabled  │
│ xurl                   │ social-media         │ builtin │ builtin │ enabled  │
│ dogfood                │ software-development │ builtin │ builtin │ disabled │
│ hermes-agent-skill-au… │ software-development │ builtin │ builtin │ enabled  │
│ inspecting-hermes-des… │ software-development │ builtin │ builtin │ disabled │
│ node-inspect-debugger  │ software-development │ builtin │ builtin │ disabled │
│ plan                   │ software-development │ builtin │ builtin │ enabled  │
│ python-debugpy         │ software-development │ builtin │ builtin │ disabled │
│ requesting-code-review │ software-development │ builtin │ builtin │ enabled  │
│ simplify-code          │ software-development │ builtin │ builtin │ disabled │
│ spike                  │ software-development │ builtin │ builtin │ disabled │
│ systematic-debugging   │ software-development │ builtin │ builtin │ enabled  │
│ test-driven-developme… │ software-development │ builtin │ builtin │ enabled  │
└────────────────────────┴──────────────────────┴─────────┴─────────┴──────────┘
0 hub-installed, 82 builtin, 21 local — 59 enabled, 44 disabled

